Time(dataType: Time)	Temperature(unit: K, dataType: Double)	Humidity(unit: %rF, dataType: Double)
1352978709953	297.39	23.41
1352978711967	297.39	23.41
1352978713945	297.4	23.41
1352978715942	297.4	23.41
1352978717953	297.38	23.405
1352978719924	297.38	23.45
1352978721906	297.38	23.425
1352978723932	297.38	23.385
1352978725883	297.38	23.385
1352978727852	297.38	23.425
1352978729822	297.38	23.425
1352978731804	297.37	23.405
1352978733776	297.38	23.45
1352978735776	297.38	23.425
1352978737749	297.38	23.45
1352978739733	297.38	23.425
1352978741733	297.39	23.45
1352978743692	297.38	23.45
1352978745682	297.38	23.45
1352978747690	297.38	23.425
1352978749646	297.38	23.425
1352978751632	297.38	23.45
1352978753651	297.38	23.47
1352978755602	297.38	23.425
1352978757585	297.38	23.425
1352978759590	297.38	23.45
1352978761536	297.38	23.425
1352978763523	297.38	23.405
1352978765526	297.38	23.405
1352978767470	297.38	23.45
1352978769458	297.37	23.445
1352978771493	297.38	23.45
1352978773437	297.38	23.425
1352978775420	297.38	23.405
1352978777420	297.38	23.45
1352978779376	297.38	23.405
1352978781358	297.38	23.45
1352978783360	297.38	23.45
1352978785322	297.37	23.405
1352978787315	297.38	23.425
1352978789328	297.38	23.425
1352978791257	297.38	23.45
1352978793246	297.38	23.45
1352978795258	297.38	23.425
1352978797225	297.38	23.425
1352978799211	297.38	23.45
1352978801208	297.38	23.425
1352978803146	297.38	23.425
1352978805165	297.38	23.425
1352978807174	297.38	23.425
1352978809128	297.38	23.45
1352978811074	297.38	23.45
1352978813091	297.38	23.425
1352978815037	297.38	23.425
1352978817009	297.38	23.425
1352978819043	297.39	23.43
1352978820992	297.39	23.43
1352978822980	297.38	23.425
1352978824977	297.38	23.425
1352978826926	297.38	23.45
1352978828926	297.38	23.425
1352978830935	297.38	23.405
1352978832902	297.38	23.45
1352978834869	297.38	23.425
1352978836884	297.38	23.405
1352978838855	297.38	23.405
1352978840838	297.38	23.405
1352978842828	297.37	23.425
1352978844814	297.37	23.425
1352978846796	297.37	23.425
1352978848806	297.37	23.405
1352978850747	297.37	23.425
1352978852750	297.37	23.425
1352978854758	297.37	23.425
1352978856746	297.36	23.445
1352978858708	297.37	23.425
1352978860733	297.37	23.425
1352978862699	297.37	23.425
1352978864668	297.36	23.445
1352978866685	297.37	23.47
1352978868650	297.36	23.445
1352978870615	297.36	23.445
1352978872630	297.36	23.445
1352978874585	297.36	23.47
1352978876561	297.36	23.425
1352978878542	297.36	23.425
1352978880516	297.36	23.47
1352978882486	297.37	23.47
1352978884535	297.36	23.47
1352978886457	297.36	23.47
1352978888480	297.37	23.47
1352978890482	297.37	23.47
1352978892437	297.36	23.49
1352978894410	297.36	23.49
1352978896402	297.37	23.445
1352978898369	297.37	23.47
1352978900366	297.37	23.47
1352978902384	297.37	23.445
1352978904300	297.37	23.445
1352978906312	297.37	23.47
1352978908328	297.37	23.49
1352978910259	297.36	23.47
1352978912235	297.37	23.47
1352978914223	297.38	23.47
1352978916172	297.38	23.47
1352978918169	297.37	23.49
1352978920188	297.38	23.47
1352978922143	297.37	23.47
1352978924141	297.38	23.495
1352978926138	297.38	23.495
1352978928077	297.38	23.47
1352978930068	297.38	23.45
1352978932071	297.38	23.45
1352978934012	297.38	23.45
1352978935992	297.38	23.47
1352978938012	297.37	23.445
1352978939964	297.37	23.425
1352978941955	297.37	23.445
1352978943968	297.37	23.425
1352978945896	297.36	23.425
1352978947874	297.36	23.445
1352978949893	297.36	23.47
1352978951853	297.36	23.47
1352978953825	297.36	23.47
1352978955844	297.36	23.445
1352978957783	297.36	23.445
1352978959803	297.36	23.425
1352978961792	297.36	23.425
1352978963748	297.37	23.445
1352978965751	297.36	23.445
1352978967739	297.36	23.445
1352978969687	297.36	23.445
1352978971677	297.37	23.445
1352978973673	297.36	23.445
1352978975626	297.36	23.47
1352978977643	297.36	23.47
1352978979627	297.36	23.47
1352978981622	297.37	23.425
1352978983568	297.37	23.425
1352978985565	297.36	23.425
1352978987523	297.36	23.445
1352978989520	297.37	23.425
1352978991565	297.37	23.445
1352978993471	297.37	23.445
1352978995503	297.37	23.445
1352978997465	297.37	23.445
1352978999456	297.37	23.425
1352979001392	297.37	23.425
1352979003435	297.37	23.445
1352979005359	297.37	23.445
1352979007367	297.37	23.425
1352979009408	297.37	23.425
1352979011360	297.37	23.425
1352979013329	297.37	23.425
1352979015354	297.37	23.445
1352979017260	297.37	23.445
1352979019276	297.37	23.425
1352979021259	297.37	23.425
1352979023223	297.37	23.425
1352979025219	297.37	23.425
1352979027230	297.37	23.425
1352979029167	297.36	23.445
1352979031130	297.36	23.445
1352979033142	297.36	23.425
1352979035101	297.36	23.425
1352979037117	297.35	23.445
1352979039148	297.35	23.445
1352979041116	297.36	23.445
1352979043077	297.36	23.445
1352979045080	297.36	23.425
1352979047062	297.35	23.405
1352979049044	297.35	23.405
1352979051051	297.35	23.445
1352979053001	297.35	23.405
1352979055003	297.35	23.405
1352979057002	297.35	23.445
1352979058981	297.35	23.445
1352979060953	297.35	23.445
1352979062970	297.35	23.445
1352979064906	297.34	23.425
1352979066902	297.35	23.445
1352979068886	297.35	23.445
1352979070869	297.35	23.445
1352979072838	297.35	23.445
1352979074852	297.35	23.47
1352979076803	297.35	23.47
1352979078777	297.35	23.47
1352979080772	297.35	23.47
1352979082738	297.35	23.445
1352979084706	297.35	23.445
1352979086726	297.35	23.47
1352979088682	297.35	23.445
1352979090683	297.35	23.445
1352979092688	297.35	23.47
1352979094643	297.35	23.47
1352979096609	297.35	23.47
1352979098628	297.35	23.445
1352979100587	297.35	23.47
1352979102558	297.35	23.445
1352979104592	297.35	23.47
1352979106543	297.34	23.47
1352979108524	297.35	23.47
1352979110534	297.34	23.47
1352979112509	297.35	23.47
1352979114458	297.35	23.47
1352979116489	297.35	23.425
1352979118444	297.34	23.445
1352979120422	297.34	23.445
1352979122436	297.35	23.445
1352979124374	297.35	23.47
1352979126354	297.35	23.445
1352979128367	297.35	23.445
1352979130333	297.35	23.445
1352979132321	297.35	23.47
1352979134328	297.35	23.47
1352979136271	297.35	23.47
1352979138259	297.35	23.47
1352979140272	297.35	23.47
1352979142221	297.35	23.49
1352979144223	297.34	23.47
1352979146207	297.34	23.47
1352979148172	297.35	23.47
1352979150158	297.35	23.47
1352979152167	297.35	23.47
1352979154138	297.35	23.47
1352979156098	297.35	23.445
1352979158116	297.35	23.445
1352979160089	297.35	23.47
1352979162058	297.35	23.47
1352979164084	297.35	23.47
1352979166027	297.35	23.49
1352979168014	297.35	23.49
1352979170031	297.35	23.47
1352979171984	297.35	23.47
1352979173974	297.34	23.49
1352979175991	297.35	23.47
1352979177918	297.35	23.47
1352979179918	297.35	23.47
1352979181901	297.35	23.47
1352979183883	297.35	23.49
1352979185867	297.35	23.47
1352979187881	297.35	23.47
1352979189847	297.35	23.51
1352979191822	297.36	23.49
1352979193820	297.36	23.49
1352979195813	297.35	23.49
1352979197775	297.35	23.49
